supplier_code,supplier_name,supplier_region,supplier_tier,product_category,historical_lead_time_days,capacity_score,quality_score,reliability_score,cost_score,risk_score,is_synthetic
SUP-0001,Granite Distribution,Southern Africa,standard,Baseball & Softball,4.79,87.22,83.47,49.9,93.66,46.86,True
SUP-0002,Anchor Distribution,Western Europe,standard,Baseball & Softball,2.46,64.77,67.8,93.19,75.41,50.25,True
SUP-0003,Horizon Logistics,South America,preferred,Baseball & Softball,3.2,70.5,53.06,88.04,74.74,46.69,True
SUP-0004,Lighthouse Supply Co.,South America,preferred,Baseball & Softball,8.78,89.12,87.36,55.12,65.67,7.41,True
SUP-0005,Granite Sourcing Partners,West of USA,preferred,Basketball,6.62,80.96,96.44,61.94,60.38,30.83,True
SUP-0006,Frontier Logistics,South Asia,preferred,Basketball,2.47,66.16,60.89,79.83,64.04,50.8,True
SUP-0007,Meridian Trading Group,Southern Africa,standard,Basketball,3.84,85.77,88.63,65.15,55.86,42.54,True
SUP-0008,Crestline Logistics,Northern Europe,strategic,Basketball,3.0,40.4,87.77,79.57,78.78,47.94,True
SUP-0009,Ironbridge Logistics,Central America,preferred,Cameras,5.77,47.69,55.5,79.76,65.91,36.09,True
SUP-0010,Granite Distribution,Caribbean,standard,Cameras,6.26,70.45,76.84,60.81,41.69,29.02,True
SUP-0011,Crestline Distribution,Central America,preferred,Cameras,4.56,86.94,61.23,48.03,55.48,21.15,True
SUP-0012,Sterling Supply Co.,Eastern Europe,standard,Cameras,5.68,83.11,81.89,66.13,84.77,14.18,True
SUP-0013,Atlas Sourcing Partners,Southern Europe,strategic,Camping & Hiking,2.18,79.73,72.17,53.39,67.56,13.38,True
SUP-0014,Cascade Logistics,East Africa,standard,Camping & Hiking,4.85,60.96,64.47,77.77,59.9,9.82,True
SUP-0015,Granite Distribution,US Center,strategic,Camping & Hiking,8.71,89.97,83.59,58.83,93.3,47.83,True
SUP-0016,Vanguard Supply Co.,Eastern Asia,standard,Camping & Hiking,4.87,54.97,54.63,91.94,65.07,16.13,True
SUP-0017,Cascade Distribution,US Center,preferred,Cardio Equipment,5.84,49.72,91.12,84.44,79.57,28.77,True
SUP-0018,Sterling Sourcing Partners,Canada,standard,Cardio Equipment,5.88,75.74,54.05,66.62,42.29,32.17,True
SUP-0019,Frontier Supply Co.,West Africa,preferred,Cardio Equipment,2.58,45.69,78.21,53.87,90.88,36.96,True
SUP-0020,Beacon Trading Group,Southeast Asia,preferred,Cardio Equipment,5.93,41.25,96.01,70.08,83.05,9.55,True
SUP-0021,Granite Supply Co.,Northern Europe,preferred,Cleats,5.18,91.58,77.44,69.62,54.68,23.24,True
SUP-0022,Fieldstone Distribution,Southern Europe,standard,Cleats,4.79,41.19,89.66,91.6,47.71,35.47,True
SUP-0023,Horizon Trading Group,South America,strategic,Cleats,6.54,55.47,81.65,82.8,82.28,10.93,True
SUP-0024,Harbor Trading Group,East of USA,standard,Cleats,3.23,42.06,76.63,64.29,85.64,49.45,True
SUP-0025,Vanguard Distribution,Northern Europe,preferred,Consumer Electronics,8.65,56.0,74.72,58.31,91.48,14.05,True
SUP-0026,Granite Distribution,East Africa,strategic,Consumer Electronics,4.76,94.58,92.8,83.93,88.99,54.14,True
SUP-0027,Crestline Logistics,Southern Europe,standard,Consumer Electronics,3.87,82.46,81.76,64.43,45.2,46.07,True
SUP-0028,Horizon Sourcing Partners,Southern Europe,preferred,Consumer Electronics,8.53,53.25,55.89,88.22,48.43,14.86,True
SUP-0029,Pinnacle Trading Group,Eastern Europe,standard,Fitness Accessories,8.06,50.8,64.9,85.43,93.45,32.54,True
