Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Delivery Status,Late_delivery_risk,Category Id,Category Name,Customer City,Customer Country,Customer Email,Customer Fname,Customer Id,Customer Lname,Customer Login Type,Customer Segment,Customer State,Customer Street,Customer Zipcode,Department Id,Department Name,Latitude,Longitude,Market,Order City,Order Country,Order Customer Id,order date (DateOrders),Order Id,Order Item Cardprod Id,Order Item Discount,Order Item Discount Rate,Order Item Id,Order Item Product Price,Order Item Profit Ratio,Order Item Quantity,Sales,Order Item Total,Order Profit Per Order,Order Region,Order State,Order Status,Order Zipcode,Product Card Id,Product Category Id,Product Name,Product Price,Product Status,shipping date (DateOrders),Shipping Mode
DEBIT,5,2,-10.05,161.88,Late delivery,1,1,Strength Training,Demo City,EE. UU.,XXXXXXXXX,Demo,996,Customer,Individual,Corporate,CA,XXXXXXXXX,90001,1,Fitness,21.4487,-114.9605,Africa,Demo City,Demo Country,996,6/14/2023 11:00,1,74,21.99,0.1027,1,42.83,-0.0523,5,214.15,192.16,-10.05,Southern Africa,NA,COMPLETE,90001,74,1,Strength Training Item #74,42.83,0,6/19/2023 11:00,Second Class
DEBIT,8,4,63.83,1775.38,Late delivery,1,1,Strength Training,Demo City,EE. UU.,XXXXXXXXX,Demo,939,Customer,Individual,Consumer,CA,XXXXXXXXX,90001,1,Fitness,30.6008,67.1377,Pacific Asia,Demo City,Demo Country,939,10/8/2023 02:00,2,102,26.75,0.0125,2,428.06,0.0302,5,2140.3,2113.55,63.83,Oceania,NA,PENDING,90001,102,1,Strength Training Item #102,428.06,0,10/16/2023 02:00,Standard Class
DEBIT,3,2,33.84,759.53,Late delivery,1,2,Cameras,Demo City,EE. UU.,XXXXXXXXX,Demo,964,Customer,Individual,Consumer,CA,XXXXXXXXX,90001,2,Electronics,-12.2623,50.514,LATAM,Demo City,Demo Country,964,8/1/2023 15:00,3,98,285.17,0.2628,3,271.28,0.0423,4,1085.12,799.95,33.84,Central America,NA,COMPLETE,90001,98,2,Cameras Item #98,271.28,0,8/4/2023 15:00,Second Class
DEBIT,4,1,185.76,525.38,Late delivery,1,3,Golf Shoes,Demo City,EE. UU.,XXXXXXXXX,Demo,948,Customer,Individual,Consumer,CA,XXXXXXXXX,90001,3,Golf,35.1699,33.2802,Africa,Demo City,Demo Country,948,12/8/2023 06:00,4,120,198.43,0.2458,4,269.09,0.3051,3,807.27,608.84,185.76,North Africa,NA,ON_HOLD,90001,120,3,Golf Shoes Item #120,269.09,0,12/12/2023 06:00,First Class
DEBIT,3,4,166.33,469.36,Advance shipping,0,4,Soccer,Demo City,EE. UU.,XXXXXXXXX,Demo,884,Customer,Individual,Consumer,CA,XXXXXXXXX,90001,4,Team Sports,53.9818,-64.8067,Africa,Demo City,Demo Country,884,11/10/2022 17:00,5,105,54.52,0.0992,5,137.39,0.336,4,549.56,495.04,166.33,Southern Africa,NA,CLOSED,90001,105,4,Soccer Item #105,137.39,0,11/13/2022 17:00,Standard Class
DEBIT,0,0,-8.51,102.83,Shipping on time,0,5,Men's Footwear,Demo City,EE. UU.,XXXXXXXXX,Demo,537,Customer,Individual,Consumer,CA,XXXXXXXXX,90001,5,Apparel,59.5464,95.0876,Europe,Demo City,Demo Country,537,2/11/2022 20:00,6,49,44.87,0.285,6,52.48,-0.0756,3,157.44,112.57,-8.51,Western Europe,NA,COMPLETE,90001,49,5,Men's Footwear Item #49,52.48,0,2/11/2022 20:00,Same Day
DEBIT,3,2,78.78,235.78,Shipping canceled,1,2,Cameras,Demo City,EE. UU.,XXXXXXXXX,Demo,706,Customer,Individual,Consumer,CA,XXXXXXXXX,90001,2,Electronics,23.0692,-34.8844,Pacific Asia,Demo City,Demo Country,706,2/1/2023 07:00,7,101,94.41,0.2652,7,177.99,0.3012,2,355.98,261.57,78.78,Eastern Asia,NA,CANCELED,90001,101,2,Cameras Item #101,177.99,0,2/4/2023 07:00,Second Class
DEBIT,2,2,108.5,390.98,Shipping on time,0,6,Cleats,Demo City,EE. UU.,XXXXXXXXX,Demo,251,Customer,Individual,Corporate,CA,XXXXXXXXX,90001,6,Fan Shop,-28.7959,-54.9436,LATAM,Demo City,Demo Country,251,4/6/2022 14:00,8,27,13.35,0.0324,8,411.97,0.2722,1,411.97,398.62,108.5,Caribbean,NA,CLOSED,90001,27,6,Cleats Item #27,411.97,0,4/8/2022 14:00,Second Class
DEBIT,4,4,-3.46,212.89,Shipping on time,0,4,Soccer,Demo City,EE. UU.,XXXXXXXXX,Demo,699,Customer,Individual,Consumer,CA,XXXXXXXXX,90001,4,Team Sports,-17.6882,-85.6262,Africa,Demo City,Demo Country,699,3/21/2022 21:00,9,121,47.79,0.1705,9,280.31,-0.0149,1,280.31,232.52,-3.46,North Africa,NA,COMPLETE,90001,121,4,Soccer Item #121,280.31,0,3/25/2022 21:00,Standard Class
DEBIT,8,4,30.45,227.9,Late delivery,1,7,Women's Apparel,Demo City,EE. UU.,XXXXXXXXX,Demo,740,Customer,Individual,Corporate,CA,XXXXXXXXX,90001,6,Fan Shop,30.7747,12.5869,USCA,Demo City,Demo Country,740,6/30/2022 12:00,10,55,16.74,0.0586,10,142.85,0.1132,2,285.7,268.96,30.45,US Center,NA,PENDING_PAYMENT,90001,55,7,Women's Apparel Item #55,142.85,0,7/8/2022 12:00,Standard Class
DEBIT,7,4,134.57,1135.68,Late delivery,1,8,Consumer Electronics,Demo City,EE. UU.,XXXXXXXXX,Demo,430,Customer,Individual,Home Office,CA,XXXXXXXXX,90001,2,Electronics,-41.2511,67.4182,LATAM,Demo City,Demo Country,430,4/8/2022 04:00,11,162,71.18,0.0588,11,302.65,0.1181,4,1210.6,1139.42,134.57,Central America,NA,PENDING,90001,162,8,Consumer Electronics Item #162,302.65,0,4/15/2022 04:00,Standard Class
DEBIT,1,2,-5.8,694.28,Advance shipping,0,8,Consumer Electronics,Demo City,EE. UU.,XXXXXXXXX,Demo,662,Customer,Individual,Consumer,CA,XXXXXXXXX,90001,2,Electronics,43.4839,-75.4289,USCA,Demo City,Demo Country,662,11/29/2023 02:00,12,167,121.52,0.1311,12,185.38,-0.0072,5,926.9,805.38,-5.8,West of USA,NA,COMPLETE,90001,167,8,Consumer Electronics Item #167,185.38,0,11/30/2023 02:00,Second Class
DEBIT,1,1,16.77,208.72,Shipping on time,0,9,Basketball,Demo City,EE. UU.,XXXXXXXXX,Demo,422,Customer,Individual,Home Office,CA,XXXXXXXXX,90001,4,Team Sports,14.1144,-2.383,Pacific Asia,Demo City,Demo Country,422,2/15/2023 06:00,13,115,13.71,0.0555,13,123.49,0.0719,2,246.98,233.27,16.77,Oceania,NA,COMPLETE,90001,115,9,Basketball Item #115,123.49,0,2/16/2023 06:00,First Class
